cellid,cycle_number,y100,Cp,x100,Cn,Qcomp,x0,y0,Qfull,pos_excess,neg_excess,RMSE_mV,np_ratio,n_li,LLI,LAM_PE,LAM_NE,C20_loss,Cn_pf,x100_pf
1,0,0.0325768005104508,5.96053304232602,0.843687748219499,6.03401669321151,0,-0.00152038747188743,0.888204973995048,5.1,0.68,1.18,6.03034614046855,1.01232836901728,0.197191312524154,1,0,0,1,6.06922132933233,0.835720689268687
1,41,0.0305739726392483,5.6579804828624,0.827690891355322,5.83233272014317,0,0.0012634169156126,0.882468038834673,4.82,0.68,1.23,4.45888524754616,1.03081527725464,0.186570764262353,0.946140891675945,0.0507593125170476,0.0334244970344946,0.945098039215686,5.06385937178125,0.873074219548749
1,59,0.0297213391699203,5.59470220434479,0.830369791640565,5.64479308293442,0,0.00128714304025224,0.866226988454624,4.68,0.76,1.18,4.70661104312977,1.00895326985424,0.181093141031678,0.918362673860164,0.0613755238639638,0.0645048945116397,0.917647058823529,4.79631034943266,0.88900118493876
1,98,0.029278991944994,5.5566002517886,0.828703313120079,5.51689928771464,0,0.000339451162919224,0.851724334945685,4.57,0.84,1.16,5.77064497038107,0.992855170018541,0.176653694758909,0.895849277017568,0.0677678972113852,0.0857003604379559,0.896078431372549,5.09478541516685,0.856207980774487
1,134,0.0292013515044265,5.53827911949312,0.83038796627755,5.38397004311362,0,0.000145605305023944,0.836311268421923,4.47,0.92,1.12,6.82339801122322,0.972137721293898,0.172845862171674,0.876538930438435,0.0708416377921995,0.107730336714053,0.876470588235294,5.48107850667643,0.814554222389274
1,175,0.0288854499821702,5.52238444028928,0.833883573381236,5.27651883880579,0,-0.0018947370394452,0.827453540936915,4.41,0.97,1.08,12.7686573153901,0.955478361902922,0.170122487411066,0.862728105175663,0.0735082917795135,0.125537911629898,0.864705882352941,5.09304211929021,0.83599358032815
1,216,0.0289534929043131,5.50810452362777,0.841082473646483,5.0973448251325,0,-0.00249396614994091,0.809621321837943,4.3,1.06,1.01,13.9447444711793,0.925426306502852,0.16591551573046,0.841393637511979,0.0759040366835532,0.155231898700711,0.843137254901961,4.86830154563216,0.847770049897413
1,257,0.0287854015334455,5.47596657862086,0.847770769521275,4.88852767688142,0,-0.00320119483381387,0.788468635584101,4.16,1.17,0.94,15.3788085853596,0.892724162336398,0.16051327731708,0.813997712487556,0.0812958271121432,0.1898385560681,0.815686274509804,4.71818109298188,0.84407978548488
1,298,0.0271252912632842,5.38339418927117,0.853294272603599,4.60724126173399,0,-0.00405175631119059,0.76086312674859,3.95,1.3,0.86,14.4784498974296,0.855824615428681,0.152132366475978,0.771496292248386,0.0968267181737875,0.236455333821448,0.774509803921569,4.62362336178577,0.855824186938876
1,339,0.0274159188997359,5.36169458300649,0.874459568078586,4.32966112788688,0,-0.0055169214115961,0.738012156901715,3.81,1.42,0.71,18.4357770433328,0.807517299028824,0.146750207609652,0.744202194970817,0.100467266109783,0.282457880377111,0.747058823529412,4.15770044067482,0.871479208048324
1,380,0.0254455945774001,5.22975657718522,0.888137458578859,3.95910957090885,0,-0.00600298805378063,0.702341344456702,3.54,1.57,0.600000000000001,22.0946561088491,0.757035153066291,0.136161144232965,0.690502753341559,0.122602535704697,0.34386830991651,0.694117647058824,3.66202454760604,0.914658257725726
2,0,0.0321570973914685,5.93005715420411,0.838197362709264,6.06912972769822,0,-0.000473126861969542,0.890496210766025,5.09,0.66,1.22,6.18723962925087,1.0234521472353,0.196923449714571,1,0,0,1,5.2865853807785,0.877649434141796
2,20,0.0308969849747116,5.72691537461491,0.829476952056201,5.82476525435125,0,0.000258985479458795,0.874282941297627,4.83,0.73,1.22,4.69663889369421,1.01708596571377,0.186872888142727,0.948962088636922,0.0342562937096117,0.0402635112958208,0.948919449901768,5.62609603218598,0.832948982375317
2,47,0.0306569740782576,5.72381755777478,0.819783002785411,5.78464638804999,0,0.000372500910661322,0.858775612059925,4.74,0.82,1.27,5.62444051462376,1.01062731815982,0.183484137069609,0.931753619670784,0.0347786861182475,0.0468738274533681,0.931237721021611,5.30478037636087,0.852633075794547
2,57,0.0301862709968137,5.66726198143404,0.816510722895543,5.71547178021244,0,-0.000569682639486979,0.854217349019839,4.67,0.84,1.27,5.96980300008499,1.00850671787123,0.180506223800121,0.916631432476701,0.0443157908830204,0.0582716078504252,0.917485265225933,5.75908249241884,0.803977858643422
2,76,0.0302406182217404,5.64760624221342,0.814788942301194,5.64174137781482,0,-0.000562150907139958,0.844744994539088,4.6,0.89,1.26,6.52708143347629,0.998961530930615,0.177886885413637,0.903330129913294,0.0476303861237573,0.070420038631387,0.903732809430256,5.52627126661555,0.811762674824795
2,97,0.0300087594097115,5.63421754939472,0.814033384284659,5.58819803599281,0,-0.000182570607075494,0.837574310457488,4.55,0.93,1.26,6.95657642946327,0.991832137648492,0.17603772915477,0.893939901062703,0.0498881540458099,0.0792422823836741,0.893909626719057,5.33000520710155,0.822028101325973
2,113,0.0299118831123241,5.62053427588408,0.813921199462885,5.5406026154635,0,-6.968077329228e-05,0.832326703239117,4.51,0.96,1.25,7.32586198008786,0.985778636603366,0.174533294159004,0.886300206562398,0.0521955978283599,0.0870844974399935,0.886051080550098,5.25885511622574,0.820530930713155
2,135,0.0299304135015096,5.61598537611285,0.812540068020793,5.47039377972826,0,-0.000929707498924071,0.822311394215549,4.45,1.01,1.24,7.78231638003112,0.974075502937766,0.172118053938571,0.874035338036414,0.0529626898905353,0.0986526857775776,0.87426326129666,4.94689922171149,0.831467737209399
