,cellid,is_room_temp,formation_type,retention,cycles
0,1,False,Baseline Formation,50,400
1,1,False,Baseline Formation,60,391
2,1,False,Baseline Formation,70,373
3,1,False,Baseline Formation,80,328
4,2,False,Baseline Formation,50,401
5,2,False,Baseline Formation,60,368
6,2,False,Baseline Formation,70,338
7,2,False,Baseline Formation,80,314
8,3,False,Baseline Formation,50,520
9,3,False,Baseline Formation,60,498
10,3,False,Baseline Formation,70,455
11,3,False,Baseline Formation,80,386
12,4,False,Baseline Formation,50,389
13,4,False,Baseline Formation,60,381
14,4,False,Baseline Formation,70,363
15,4,False,Baseline Formation,80,315
16,5,False,Baseline Formation,50,405
17,5,False,Baseline Formation,60,400
18,5,False,Baseline Formation,70,381
19,5,False,Baseline Formation,80,333
20,6,False,Baseline Formation,50,430
21,6,False,Baseline Formation,60,422
22,6,False,Baseline Formation,70,405
23,6,False,Baseline Formation,80,355
24,7,False,Baseline Formation,50,419
25,7,False,Baseline Formation,60,408
26,7,False,Baseline Formation,70,362
27,7,False,Baseline Formation,80,336
28,8,False,Baseline Formation,50,412
29,8,False,Baseline Formation,60,402
30,8,False,Baseline Formation,70,362
31,8,False,Baseline Formation,80,340
32,10,False,Baseline Formation,50,432
33,10,False,Baseline Formation,60,421
34,10,False,Baseline Formation,70,378
35,10,False,Baseline Formation,80,339
36,11,True,Baseline Formation,50,451
37,11,True,Baseline Formation,60,430
38,11,True,Baseline Formation,70,387
39,11,True,Baseline Formation,80,346
40,12,True,Baseline Formation,50,449
41,12,True,Baseline Formation,60,402
42,12,True,Baseline Formation,70,362
43,12,True,Baseline Formation,80,325
44,13,True,Baseline Formation,50,434
45,13,True,Baseline Formation,60,397
46,13,True,Baseline Formation,70,348
47,13,True,Baseline Formation,80,314
48,14,True,Baseline Formation,50,490
49,14,True,Baseline Formation,60,478
50,14,True,Baseline Formation,70,409
51,14,True,Baseline Formation,80,377
52,15,True,Baseline Formation,50,414
53,15,True,Baseline Formation,60,397
54,15,True,Baseline Formation,70,357
55,15,True,Baseline Formation,80,327
56,16,True,Baseline Formation,50,428
57,16,True,Baseline Formation,60,404
58,16,True,Baseline Formation,70,374
59,16,True,Baseline Formation,80,344
60,17,True,Baseline Formation,50,386
61,17,True,Baseline Formation,60,352
62,17,True,Baseline Formation,70,324
63,17,True,Baseline Formation,80,300
64,18,True,Baseline Formation,50,402
65,18,True,Baseline Formation,60,383
66,18,True,Baseline Formation,70,341
67,18,True,Baseline Formation,80,306
68,19,True,Baseline Formation,50,434
69,19,True,Baseline Formation,60,404
70,19,True,Baseline Formation,70,359
71,19,True,Baseline Formation,80,326
72,20,True,Baseline Formation,50,408
73,20,True,Baseline Formation,60,350
74,20,True,Baseline Formation,70,326
75,20,True,Baseline Formation,80,300
76,21,True,Fast Formation,50,506
77,21,True,Fast Formation,60,484
78,21,True,Fast Formation,70,448
79,21,True,Fast Formation,80,397
80,22,True,Fast Formation,50,442
81,22,True,Fast Formation,60,401
82,22,True,Fast Formation,70,381
83,22,True,Fast Formation,80,334
84,23,True,Fast Formation,50,562
85,23,True,Fast Formation,60,533
86,23,True,Fast Formation,70,490
87,23,True,Fast Formation,80,437
88,24,True,Fast Formation,50,494
89,24,True,Fast Formation,60,458
90,24,True,Fast Formation,70,411
91,24,True,Fast Formation,80,379
92,25,True,Fast Formation,50,613
93,25,True,Fast Formation,60,546
94,25,True,Fast Formation,70,499
95,25,True,Fast Formation,80,449
96,26,True,Fast Formation,50,624
97,26,True,Fast Formation,60,590
98,26,True,Fast Formation,70,517
99,26,True,Fast Formation,80,458
100,27,True,Fast Formation,50,576
101,27,True,Fast Formation,60,546
102,27,True,Fast Formation,70,487
103,27,True,Fast Formation,80,433
104,28,True,Fast Formation,50,597
105,28,True,Fast Formation,60,563
106,28,True,Fast Formation,70,493
107,28,True,Fast Formation,80,436
108,29,True,Fast Formation,50,529
109,29,True,Fast Formation,60,504
110,29,True,Fast Formation,70,460
111,29,True,Fast Formation,80,396
112,30,True,Fast Formation,50,576
113,30,True,Fast Formation,60,552
114,30,True,Fast Formation,70,485
115,30,True,Fast Formation,80,430
116,31,False,Fast Formation,50,496
117,31,False,Fast Formation,60,478
118,31,False,Fast Formation,70,461
119,31,False,Fast Formation,80,385
120,32,False,Fast Formation,50,506
121,32,False,Fast Formation,60,496
122,32,False,Fast Formation,70,479
123,32,False,Fast Formation,80,396
124,33,False,Fast Formation,50,500
125,33,False,Fast Formation,60,488
126,33,False,Fast Formation,70,468
127,33,False,Fast Formation,80,406
128,34,False,Fast Formation,50,612
129,34,False,Fast Formation,60,602
130,34,False,Fast Formation,70,590
131,34,False,Fast Formation,80,480
132,35,False,Fast Formation,50,460
133,35,False,Fast Formation,60,448
134,35,False,Fast Formation,70,437
135,35,False,Fast Formation,80,361
136,36,False,Fast Formation,50,538
137,36,False,Fast Formation,60,522
138,36,False,Fast Formation,70,481
139,36,False,Fast Formation,80,398
140,37,False,Fast Formation,50,554
141,37,False,Fast Formation,60,542
142,37,False,Fast Formation,70,522
143,37,False,Fast Formation,80,423
144,38,False,Fast Formation,50,477
145,38,False,Fast Formation,60,465
146,38,False,Fast Formation,70,441
147,38,False,Fast Formation,80,382
148,39,False,Fast Formation,50,537
149,39,False,Fast Formation,60,523
150,39,False,Fast Formation,70,514
151,39,False,Fast Formation,80,412
152,40,False,Fast Formation,50,562
153,40,False,Fast Formation,60,553
154,40,False,Fast Formation,70,520
155,40,False,Fast Formation,80,411
